Unnamed: 0,Wind Onshore [MW],Wind Offshore [MW],Solar [MW],Water [MW],Biomass [MW]
253,14185.28,6452.38,4281.52,1373.0,4935.25
254,14492.29,5944.44,2737.0,1410.0,4942.3
255,14978.76,5956.35,1509.31,1420.0,4946.33
256,15633.86,5801.59,598.44,1384.0,4936.26
257,16105.19,6039.68,154.01,1377.0,4930.22
258,16624.08,5722.22,13.2,1370.0,4937.27
259,17382.97,5710.32,0.0,1385.0,4944.32
260,18494.27,5773.81,0.0,1368.0,4953.38
261,19302.88,5555.56,0.0,1386.0,4931.22
262,19577.46,5194.44,0.0,1386.0,4964.46
263,19806.64,5170.63,0.0,1405.0,4968.49
264,19880.15,5182.54,0.0,1459.0,4974.53
265,20007.71,5273.81,0.0,1371.0,4966.47
266,20050.95,5507.94,0.0,1352.0,4965.47
267,19886.63,6182.54,0.0,1358.0,4957.41
268,19575.3,6738.1,0.0,1393.0,4962.45
269,19408.82,6730.16,0.0,1380.0,4964.46
270,19054.24,6750.0,0.0,1370.0,4957.41
271,18866.14,6615.08,0.0,1359.0,4957.41
272,18771.01,6714.29,0.0,1422.0,4953.38
273,18844.52,6615.08,0.0,1377.0,4949.35
274,18762.36,6341.27,0.0,1429.0,4949.35
275,18818.57,6706.35,0.0,1388.0,4932.23
276,18587.23,5876.98,0.0,1433.0,4946.33
277,18165.63,5222.22,0.0,1426.0,4948.35
278,17685.66,4833.33,0.0,1362.0,4935.25
279,17168.92,4880.95,0.0,1360.0,4934.24
280,16407.88,4785.71,0.0,1416.0,4929.21
281,15813.31,5230.16,0.0,1388.0,4920.14
282,15220.91,5456.35,0.0,1365.0,4921.15
283,14963.62,5234.13,0.0,1368.0,4919.14
284,14591.75,5373.02,0.0,1427.0,4913.09
285,14412.3,5515.87,0.0,1358.0,4912.09
286,14150.69,5250.0,0.0,1361.0,4907.05
287,13912.86,5285.71,0.0,1380.0,4908.06
288,13700.98,5718.25,0.0,1505.0,4887.91
289,13599.36,5968.25,0.0,1407.0,4894.96
290,13722.6,6837.3,0.0,1366.0,4895.97
291,14150.69,7789.68,0.0,1363.0,4886.91
292,14487.97,8849.21,0.0,1378.0,4887.91
293,15229.55,8853.17,0.0,1348.0,4885.9
294,16042.49,9694.44,0.0,1344.0,4885.9
295,16606.79,10412.7,0.0,1341.0,4883.88
296,16701.92,12154.76,0.0,1384.0,4894.96
297,17082.44,13134.92,0.0,1359.0,4886.91
298,17181.9,13539.68,0.0,1358.0,4912.09
299,17996.99,13738.1,0.0,1351.0,4913.09
300,18362.38,14634.92,0.0,1412.0,4906.04
301,19281.26,15230.16,0.0,1368.0,4905.04
302,20282.29,15535.71,0.0,1359.0,4898.99
303,20930.91,17063.49,0.0,1356.0,4894.96
304,21750.33,18023.81,0.0,1372.0,4901.01
305,22472.46,16630.95,0.0,1375.0,4881.87
306,23393.5,16511.9,0.0,1402.0,4905.04
307,24342.64,16611.11,0.0,1417.0,4895.97
308,25335.03,16908.73,0.0,1417.0,4911.08
309,26176.07,16761.9,0.0,1387.0,4893.96
310,27021.43,17107.14,0.0,1391.0,4903.02
311,27654.92,17138.89,0.0,1380.0,4890.94
312,29101.33,17329.37,0.0,1371.0,4883.88
313,29391.05,16440.48,0.0,1385.0,4903.02
314,30558.56,16452.38,0.0,1368.0,4885.9
315,31501.22,16611.11,0.0,1389.0,4880.86
316,32735.76,16730.16,0.0,1374.0,4904.03
317,33723.82,16765.87,0.0,1384.0,4891.94
318,35258.88,16714.29,0.0,1397.0,4907.05
319,36294.51,16761.9,0.0,1430.0,4917.12
320,36964.75,15781.75,30.8,1391.0,4941.29
321,37273.92,15436.51,136.41,1403.0,4937.27
322,37870.65,15301.59,418.03,1404.0,4953.38
323,38162.53,15257.94,972.47,1423.0,4955.4
324,38543.05,15234.13,1720.53,1492.0,4919.14
325,39148.43,15174.6,2578.59,1550.0,4903.02
326,39658.68,15071.43,3511.46,1543.0,4932.23
327,39753.81,15075.4,4497.13,1520.0,4951.37
328,40871.59,15039.68,5438.8,1487.0,4953.38
329,41528.86,15087.3,6345.27,1539.0,4951.37
330,42214.23,15142.86,7326.55,1493.0,4950.36
331,43046.63,15055.56,8131.81,1508.0,4951.37
332,43993.61,14932.54,8888.66,1545.0,4936.26
333,45007.61,14900.79,9407.9,1535.0,4932.23
334,46006.49,14833.33,9658.72,1489.0,4933.24
335,46756.72,14718.25,9764.33,1481.0,4914.1
336,47651.81,14892.86,9737.92,1522.0,4940.29
337,48415.02,15019.84,9482.71,1448.0,4951.37
338,49431.19,15071.43,9099.88,1476.0,4934.24
339,50927.34,14742.06,8620.24,1470.0,4949.35
340,51409.48,14694.44,8382.62,1546.0,4918.13
341,51450.55,14670.63,7819.38,1472.0,4934.24
342,51746.76,14642.86,6961.32,1481.0,4949.35
343,51264.62,14666.67,6354.07,1453.0,4949.35
344,51230.02,14341.27,5667.62,1523.0,4948.35
345,51294.89,13956.35,4774.36,1502.0,4954.39
346,50996.52,13730.16,3859.09,1495.0,4942.3
347,50832.21,13373.02,3137.43,1467.0,4959.42
348,50510.06,13436.51,2406.98,1466.0,4963.45
349,50148.99,13678.57,1570.92,1458.0,4954.39
350,50542.49,13634.92,1034.08,1461.0,4955.4
351,51005.17,13658.73,536.84,1456.0,4961.44
352,50983.55,13813.49,215.62,1511.0,4972.52
353,50791.13,13753.97,118.81,1447.0,4978.56
354,51124.08,13865.08,30.8,1444.0,4975.54
355,51582.44,14242.06,0.0,1444.0,4960.43
356,51835.4,14376.98,0.0,1388.0,4950.36
357,51828.92,14492.06,0.0,1403.0,4961.44
358,51930.53,14638.89,0.0,1432.0,4979.57
359,51658.11,14690.48,0.0,1420.0,4978.56
360,51441.91,14738.1,0.0,1434.0,4972.52
361,51692.71,14809.52,0.0,1494.0,4968.49
362,51152.19,14992.06,0.0,1456.0,4980.58
363,50843.02,14936.51,0.0,1488.0,4977.55
364,50795.45,15027.78,0.0,1514.0,4974.53
365,50525.19,15166.67,0.0,1432.0,4974.53
366,50120.89,15357.14,0.0,1435.0,4978.56
367,49519.83,15436.51,0.0,1418.0,4965.47
368,49448.49,15412.7,0.0,1558.0,4976.55
369,49681.99,15392.86,0.0,1450.0,4957.41
370,49515.51,15357.14,0.0,1451.0,4974.53
371,49498.21,15349.21,0.0,1431.0,4951.37
372,49003.1,15416.67,0.0,1466.0,4949.35
373,49256.06,15392.86,0.0,1432.0,4969.5
374,49589.02,15369.05,0.0,1426.0,4956.4
375,50213.86,15345.24,0.0,1390.0,4944.32
376,49024.72,15376.98,0.0,1455.0,4936.26
377,49651.72,15460.32,0.0,1392.0,4943.31
378,50194.4,15460.32,0.0,1376.0,4925.18
379,50819.23,15492.06,0.0,1368.0,4936.26
380,51774.86,15515.87,0.0,1400.0,4931.22
381,52566.18,15480.16,0.0,1370.0,4940.29
382,52879.68,15543.65,0.0,1347.0,4919.14
383,53167.23,15527.78,0.0,1345.0,4922.16
384,53742.34,15420.63,0.0,1476.0,4912.09
385,54533.65,15297.62,0.0,1428.0,4908.06
386,55283.89,15182.54,0.0,1360.0,4904.03
387,55673.06,15261.9,0.0,1337.0,4917.12
388,55480.64,15317.46,0.0,1422.0,4891.94
389,55785.49,15226.19,0.0,1355.0,4878.85
390,56349.78,15103.17,0.0,1355.0,4891.94
391,56885.97,14992.06,0.0,1345.0,4887.91
392,57534.59,14857.14,0.0,1381.0,4890.94
393,58222.13,14698.41,0.0,1321.0,4900.0
394,58676.16,14642.86,0.0,1322.0,4905.04
395,58857.77,14623.02,0.0,1326.0,4888.92
396,59448.02,14599.21,0.0,1383.0,4895.97
397,60098.8,14642.86,0.0,1363.0,4897.99
398,60929.03,14420.63,0.0,1354.0,4883.88
399,61514.95,14353.17,0.0,1352.0,4879.86
400,62219.78,14206.35,0.0,1400.0,4885.9
401,62353.83,13940.48,0.0,1368.0,4872.81
402,62487.87,13936.51,0.0,1365.0,4877.84
403,62269.51,13805.56,0.0,1373.0,4887.91
404,61778.72,13837.3,0.0,1429.0,4863.74
405,61251.18,14329.37,0.0,1385.0,4878.85
406,61223.07,14710.32,0.0,1387.0,4876.83
407,61257.66,14726.19,0.0,1374.0,4847.63
408,63078.12,14579.37,0.0,1378.0,4882.88
409,63041.36,14246.03,0.0,1388.0,4869.78
410,62544.09,14178.57,0.0,1415.0,4872.81
411,61514.95,14460.32,0.0,1463.0,4881.87
412,60436.08,14888.89,0.0,1351.0,4894.96
413,59646.93,15003.97,0.0,1345.0,4883.88
414,59391.8,14932.54,0.0,1344.0,4884.89
415,59004.79,14678.57,0.0,1360.0,4879.86
416,58062.14,14480.16,30.8,1365.0,4897.99
417,57141.1,14345.24,132.01,1434.0,4918.13
418,56284.92,14313.49,369.63,1413.0,4929.21
419,55640.63,14341.27,629.25,1406.0,4923.17
420,55253.62,14400.79,910.87,1422.0,4911.08
421,54823.37,14234.13,1298.1,1453.0,4892.95
422,53939.09,14202.38,1896.54,1554.0,4917.12
423,53271.01,14234.13,2477.38,1518.0,4910.07
424,52518.61,14408.73,3036.23,1444.0,4915.11
425,51565.14,14297.62,3674.27,1462.0,4902.01
426,50929.5,14007.94,4241.92,1465.0,4896.98
427,50419.25,13896.83,4835.96,1516.0,4902.01
428,49761.99,13884.92,5456.41,1540.0,4909.06
429,49204.17,13785.71,6195.66,1447.0,4911.08
430,48832.3,13420.63,6754.5,1437.0,4920.14
431,48172.87,13099.21,6996.52,1485.0,4917.12
432,47158.86,13043.65,7172.53,1402.0,4920.14
433,46689.7,12948.41,7458.56,1454.0,4935.25
434,45937.3,12996.03,7308.94,1415.0,4924.17
435,45628.13,13107.14,6952.52,1382.0,4919.14
436,45459.48,13281.75,6587.29,1452.0,4930.22
437,44897.35,13452.38,6217.66,1382.0,4931.22
438,44279.0,13384.92,5628.02,1405.0,4918.13
439,43915.77,13103.17,4967.97,1388.0,4930.22
440,43340.67,12861.11,4514.74,1434.0,4933.24
441,42419.63,12670.63,3867.89,1444.0,4941.29
442,40947.26,13226.19,3080.23,1438.0,4935.25
443,40272.7,14611.11,2490.59,1421.0,4902.01
444,39314.91,14757.94,1843.74,1477.0,4909.06
445,38534.4,15051.59,1280.5,1426.0,4921.15
446,37942.0,15126.98,849.26,1431.0,4927.19
447,37916.06,15111.11,418.03,1388.0,4939.28
448,37721.47,14869.05,158.41,1383.0,4945.32
449,37122.58,14869.05,48.4,1491.0,4942.3
450,36854.48,14817.46,8.8,1415.0,4957.41
451,36770.16,14813.49,0.0,1451.0,4943.31
452,36739.89,14591.27,0.0,1367.0,4926.19
453,36499.91,14539.68,0.0,1396.0,4932.23
454,36149.65,14710.32,0.0,1392.0,4928.2
455,36121.55,14646.83,0.0,1430.0,4962.45
456,36065.33,14503.97,0.0,1399.0,4964.46
457,35788.59,14623.02,0.0,1384.0,4968.49
458,35572.38,15714.29,0.0,1401.0,4975.54
459,35563.73,15543.65,0.0,1430.0,4961.44
460,34878.36,15027.78,0.0,1507.0,4976.55
461,33987.59,14880.95,0.0,1491.0,4973.53
462,33483.83,14976.19,0.0,1435.0,4972.52
463,33449.24,15083.33,0.0,1401.0,4950.36
464,33246.0,15392.86,0.0,1467.0,4942.3
465,32934.67,16503.97,0.0,1392.0,4933.24
466,32703.33,16607.14,0.0,1391.0,4928.2
467,32232.0,16555.56,0.0,1408.0,4926.19
468,31992.01,16448.41,0.0,1480.0,4928.2
469,31680.67,16476.19,0.0,1428.0,4915.11
470,31334.74,16341.27,0.0,1423.0,4947.34
471,31310.96,16373.02,0.0,1383.0,4908.06
472,30173.72,16019.84,0.0,1448.0,4909.06
473,29935.89,15817.46,0.0,1407.0,4920.14
474,29289.43,15873.02,0.0,1422.0,4898.99
475,28792.16,16000.0,0.0,1380.0,4897.99
476,28500.28,16765.87,0.0,1402.0,4904.03
477,28199.76,16876.98,0.0,1394.0,4881.87
478,27853.83,16424.6,0.0,1400.0,4886.91
479,27369.52,16238.1,0.0,1411.0,4848.63
