Iron_steel,Olefin,Methanol,Ammonia
10871.97,8945.1,555.99,848.03
10966.4,9053.04,562.7,858.27
11022.44,9191.91,571.33,871.43
11136.48,9350.66,581.2,886.48
11255.11,9559.84,594.2,906.31
11427.01,9829.4,610.96,931.87
11573.96,10143.7,630.49,961.67
11809.83,10480.66,651.44,993.61
12035.46,10886.29,676.65,1032.07
12220.71,11196.79,695.95,1061.5
12285.44,11265.69,700.23,1068.04
12339.89,11315.05,703.3,1072.71
12326.49,11309.01,702.93,1072.14
12383.19,11316.22,703.37,1072.83
12332.5,11314.15,703.25,1072.63
12364.25,11343.7,705.08,1075.43
12367.42,11307.14,702.81,1071.96
12399.7,11350.11,705.48,1076.04
12425.66,11367.22,706.54,1077.66
12463.79,11397.5,708.43,1080.53
12410.59,11384.2,707.6,1079.27
12426.56,11357.19,705.92,1076.71
12393.49,11352.6,705.63,1076.27
12386.5,11319.57,703.58,1073.14
12341.6,11317.68,703.46,1072.96
12310.41,11334.3,704.5,1074.54
12356.14,11318.2,703.5,1073.01
12362.56,11317.92,703.48,1072.99
12342.03,11335.79,704.59,1074.68
12398.79,11378.94,707.27,1078.77
12500.32,11396.17,708.34,1080.41
12604.3,11453.89,711.93,1085.88
12688.66,11491.52,714.27,1089.44
12841.75,11568.69,719.07,1096.76
12990.03,11655.18,724.44,1104.96
13194.44,11727.79,728.96,1111.84
13336.94,11814.81,734.36,1120.09
13550.86,11917.06,740.72,1129.79
13745.13,12037.31,748.19,1141.19
13901.27,12112.74,752.88,1148.34
14075.99,12208.93,758.86,1157.46
14233.75,12298.78,764.45,1165.98
14430.42,12363.07,768.44,1172.07
14517.5,12421.33,772.06,1177.6
14630.27,12482.88,775.89,1183.43
14691.11,12538.61,779.35,1188.71
14773.15,12545.68,779.79,1189.38
14789.54,12577.27,781.76,1192.38
14817.76,12591.21,782.62,1193.7
14874.77,12605.85,783.53,1195.09
14848.35,12591.66,782.65,1193.74
14836.91,12572.59,781.46,1191.93
