tick,uranium,lignite,hard coal,natural gas,oil,biomass,co2
220,0.9,1.8,11.88,33.84,60.0,20.7,87
221,0.9,1.8,11.88,33.84,60.0,20.7,87
222,0.9,1.8,11.88,33.84,60.0,20.7,87
223,0.9,1.8,11.88,33.84,60.0,20.7,87
224,0.9,1.8,11.88,33.84,60.0,20.7,87
225,0.9,1.8,11.88,33.84,60.0,20.7,87
226,0.9,1.8,11.88,33.84,60.0,20.7,87
227,0.9,1.8,11.88,33.84,60.0,20.7,87
228,0.9,1.8,11.88,33.84,60.0,20.7,87
229,0.9,1.8,11.88,33.84,60.0,20.7,87
230,0.9,1.8,11.88,33.84,60.0,20.7,87
231,0.9,1.8,11.88,33.84,60.0,20.7,87
232,0.9,1.8,11.88,33.84,60.0,20.7,87
233,0.9,1.8,11.88,33.84,60.0,20.7,87
234,0.9,1.8,11.88,33.84,60.0,20.7,87
235,0.9,1.8,11.88,33.84,60.0,20.7,87
236,0.9,1.8,11.88,33.84,60.0,20.7,87
237,0.9,1.8,11.88,33.84,60.0,20.7,87
238,0.9,1.8,11.88,33.84,60.0,20.7,87
239,0.9,1.8,11.88,33.84,60.0,20.7,87
240,0.9,1.8,11.88,33.84,60.0,20.7,87
241,0.9,1.8,11.88,33.84,60.0,20.7,87
242,0.9,1.8,11.88,33.84,60.0,20.7,87
243,0.9,1.8,11.88,33.84,60.0,20.7,87
244,0.9,1.8,11.88,33.84,60.0,20.7,87
245,0.9,1.8,11.88,33.84,60.0,20.7,87
246,0.9,1.8,11.88,33.84,60.0,20.7,87
247,0.9,1.8,11.88,33.84,60.0,20.7,87
248,0.9,1.8,11.88,33.84,60.0,20.7,87
249,0.9,1.8,11.88,33.84,60.0,20.7,87
250,0.9,1.8,11.88,33.84,60.0,20.7,87
251,0.9,1.8,11.88,33.84,60.0,20.7,87
252,0.9,1.8,11.88,33.84,60.0,20.7,87
253,0.9,1.8,11.88,33.84,60.0,20.7,87
254,0.9,1.8,11.88,33.84,60.0,20.7,87
255,0.9,1.8,11.88,33.84,60.0,20.7,87
256,0.9,1.8,11.88,33.84,60.0,20.7,87
257,0.9,1.8,11.88,33.84,60.0,20.7,87
258,0.9,1.8,11.88,33.84,60.0,20.7,87
259,0.9,1.8,11.88,33.84,60.0,20.7,87
260,0.9,1.8,11.88,33.84,60.0,20.7,87
261,0.9,1.8,11.88,33.84,60.0,20.7,87
262,0.9,1.8,11.88,33.84,60.0,20.7,87
263,0.9,1.8,11.88,33.84,60.0,20.7,87
264,0.9,1.8,11.88,33.84,60.0,20.7,87
265,0.9,1.8,11.88,33.84,60.0,20.7,87
266,0.9,1.8,11.88,33.84,60.0,20.7,87
267,0.9,1.8,11.88,33.84,60.0,20.7,87
268,0.9,1.8,11.88,33.84,60.0,20.7,87
269,0.9,1.8,11.88,33.84,60.0,20.7,87
270,0.9,1.8,11.88,33.84,60.0,20.7,87
271,0.9,1.8,11.88,33.84,60.0,20.7,87
272,0.9,1.8,11.88,33.84,60.0,20.7,87
273,0.9,1.8,11.88,33.84,60.0,20.7,87
274,0.9,1.8,11.88,33.84,60.0,20.7,87
275,0.9,1.8,11.88,33.84,60.0,20.7,87
276,0.9,1.8,11.88,33.84,60.0,20.7,87
277,0.9,1.8,11.88,33.84,60.0,20.7,87
278,0.9,1.8,11.88,33.84,60.0,20.7,87
279,0.9,1.8,11.88,33.84,60.0,20.7,87
280,0.9,1.8,11.88,33.84,60.0,20.7,87
281,0.9,1.8,11.88,33.84,60.0,20.7,87
282,0.9,1.8,11.88,33.84,60.0,20.7,87
283,0.9,1.8,11.88,33.84,60.0,20.7,87
284,0.9,1.8,11.88,33.84,60.0,20.7,87
285,0.9,1.8,11.88,33.84,60.0,20.7,87
286,0.9,1.8,11.88,33.84,60.0,20.7,87
287,0.9,1.8,11.88,33.84,60.0,20.7,87
288,0.9,1.8,11.88,33.84,60.0,20.7,87
289,0.9,1.8,11.88,33.84,60.0,20.7,87
290,0.9,1.8,11.88,33.84,60.0,20.7,87
291,0.9,1.8,11.88,33.84,60.0,20.7,87
292,0.9,1.8,11.88,33.84,60.0,20.7,87
293,0.9,1.8,11.88,33.84,60.0,20.7,87
294,0.9,1.8,11.88,33.84,60.0,20.7,87
295,0.9,1.8,11.88,33.84,60.0,20.7,87
296,0.9,1.8,11.88,33.84,60.0,20.7,87
297,0.9,1.8,11.88,33.84,60.0,20.7,87
298,0.9,1.8,11.88,33.84,60.0,20.7,87
299,0.9,1.8,11.88,33.84,60.0,20.7,87
300,0.9,1.8,11.88,33.84,60.0,20.7,87
301,0.9,1.8,11.88,33.84,60.0,20.7,87
302,0.9,1.8,11.88,33.84,60.0,20.7,87
303,0.9,1.8,11.88,33.84,60.0,20.7,87
304,0.9,1.8,11.88,33.84,60.0,20.7,87
305,0.9,1.8,11.88,33.84,60.0,20.7,87
306,0.9,1.8,11.88,33.84,60.0,20.7,87
307,0.9,1.8,11.88,33.84,60.0,20.7,87
308,0.9,1.8,11.88,33.84,60.0,20.7,87
309,0.9,1.8,11.88,33.84,60.0,20.7,87
310,0.9,1.8,11.88,33.84,60.0,20.7,87
311,0.9,1.8,11.88,33.84,60.0,20.7,87
312,0.9,1.8,11.88,33.84,60.0,20.7,87
313,0.9,1.8,11.88,33.84,60.0,20.7,87
314,0.9,1.8,11.88,33.84,60.0,20.7,87
315,0.9,1.8,11.88,33.84,60.0,20.7,87
316,0.9,1.8,11.88,33.84,60.0,20.7,87
317,0.9,1.8,11.88,33.84,60.0,20.7,87
318,0.9,1.8,11.88,33.84,60.0,20.7,87
319,0.9,1.8,11.88,33.84,60.0,20.7,87
320,0.9,1.8,11.88,33.84,60.0,20.7,87
321,0.9,1.8,11.88,33.84,60.0,20.7,87
322,0.9,1.8,11.88,33.84,60.0,20.7,87
323,0.9,1.8,11.88,33.84,60.0,20.7,87
324,0.9,1.8,11.88,33.84,60.0,20.7,87
325,0.9,1.8,11.88,33.84,60.0,20.7,87
326,0.9,1.8,11.88,33.84,60.0,20.7,87
327,0.9,1.8,11.88,33.84,60.0,20.7,87
328,0.9,1.8,11.88,33.84,60.0,20.7,87
329,0.9,1.8,11.88,33.84,60.0,20.7,87
