tick,Elec_x,Iron_steel
644,302.4,0
645,304,0
646,304.5,0
647,305.5,0
648,304.8,0
649,302.5,0
650,302.6,0
651,300.8,0
652,298.3,0
653,294.7,0
654,290.8,0
655,287.6,0
656,283,0
657,277.5,0
658,274.2,0
659,269.5,0
660,265.9,0
661,262.2,0
662,258.8,0
663,255.3,0
664,256.6,0
665,253.5,0
666,248.6,0
667,244.5,0
668,240,0
669,234.7,0
670,229.5,0
671,225.8,0
672,222.6,0
673,219.3,0
674,216.2,0
675,214.3,0
676,212.6,0
677,209.9,0
678,208.9,0
679,207.4,0
680,204.4,0
681,204.1,0
682,203.8,0
683,204.1,0
684,204.7,0
685,205.5,0
686,206.7,0
687,207.1,0
688,208.7,0
689,210,0
690,211.3,0
691,212.5,0
692,218.1,0
693,221.2,0
694,225.7,0
695,232.3,0
696,242.6,0
697,252.8,0
698,261.1,0
699,268.4,0
700,277.1,0
701,280.9,0
702,285.9,1.977.663.384
703,289.7,4.849.376.436
704,293.1,1.039.002.369
705,292.9,1.583.976.222
706,294.4,1.741.460.201
707,293.8,2.110.927.821
708,293.4,2.238.610.144
709,294.5,2.438.654.896
710,295.5,231.172.445
711,294.8,2.260.004.451
712,293.6,2.271.031.975
713,293.5,2.260.687.976
714,293.6,2.296.709.701
715,294.9,2.217.808.223
716,295.7,231.040.297
717,297,2.418.331.443
718,297.8,2.259.047.517
719,297.3,2.475.701.908
720,296.2,2.501.926.454
721,295.3,2.589.577.042
722,293.7,2.419.493.434
723,292.1,2.546.355.527
724,291.6,2.512.338.806
725,288.4,2.527.353.554
726,285.4,2.356.221.876
727,281.5,2.331.113.753
728,280.7,2.317.352.133
729,280.4,2.249.751.588
730,278.8,1.855.836.585
731,277.8,1.705.165.065
732,277.6,1.321.275.084
733,276,1.167.459.352
734,275.8,8.071.965.249
735,276.1,4.040.539.453
736,277,0
737,278.2,0
738,282.3,0
739,286.4,0
740,292.3,0
741,296,0
742,296.9,0
743,297.5,0
744,294.1,0
745,293.6,0
746,293.3,0
747,290.7,0
748,289.6,0
749,285.8,0
750,282.5,0
751,279.9,0
752,272.7,0
753,268.1,0
754,264.2,0
755,258.8,0
756,256.4,0
757,252.9,0
758,248.8,0
759,245.6,0
760,245.3,0
761,243.4,0
762,240.2,0
763,237,0
764,230.7,0
765,227.2,0
766,224.3,0
767,220.2,0
768,215.9,0
769,212.1,0
770,209.7,0
771,207.3,0
772,204.8,0
773,202.9,0
774,201.6,0
775,200.4,0
776,197.5,0
777,195.8,0
778,195.8,0
779,195.9,0
780,195.3,0
781,194.9,0
782,194.8,0
783,194.1,0
784,194.5,0
785,194.5,0
786,195.2,0
787,195.5,0
788,194.9,0
789,194.1,0
790,193.1,0
791,191.9,0
792,191.2,0
793,193.2,0
794,194.6,0
795,196.3,0
796,200.1,0
797,203.1,0
798,206.9,0
799,210.5,6.909.974.091
800,215.4,1.092.180.553
801,218.1,1.634.124.115
802,221.1,193.840.631
803,225.3,2.051.825.761
804,229.4,2.175.976.542
805,231.7,2.232.390.073
806,232.7,2.315.552.186
807,235.4,2.283.722.741
808,237.3,2.376.704.818
809,238.8,220.397.825
810,240.6,2.161.235.203
811,241.4,2.221.134.708
812,244.1,2.374.699.814
813,246.1,2.292.175.658
814,247,2.376.727.602
815,246,2.325.805.049
816,244.5,2.489.372.392
817,242.8,2.361.279.955
818,240.2,2.492.311.547
819,238.4,2.565.858.752
820,236.1,2.640.659.084
821,234.4,255.968.425
822,233.9,243.895.109
823,231.2,2.287.937.807
824,231,2.291.765.543
825,228.8,2.085.956.403
826,229.1,1.935.626.645
