Iron_steel,Olefin,Methanol,Ammonia
3350.7,2821.3,175.36,267.47
3357.08,2830.95,175.96,268.39
3355.33,2833.86,176.14,268.66
3359.68,2836.16,176.28,268.88
3355.12,2841.82,176.64,269.42
3363.65,2835.68,176.26,268.83
3365.12,2848.22,177.03,270.02
3372.96,2845.7,176.88,269.78
3359.96,2856.31,177.54,270.79
3362.26,2855.13,177.46,270.68
3357.8,2861.63,177.87,271.29
3379.14,2861.14,177.84,271.25
3366.8,2862.79,177.94,271.4
3369.65,2859.77,177.75,271.12
3379.31,2866.07,178.14,271.72
3364.86,2861.8,177.88,271.31
3373.66,2866.49,178.17,271.76
3366.96,2859.33,177.73,271.08
3378.61,2856.08,177.52,270.77
3366.7,2850.19,177.16,270.21
3372.92,2850.48,177.18,270.24
3360.19,2845.49,176.87,269.76
3360.24,2843.49,176.74,269.58
3357.06,2837.34,176.36,268.99
3366.7,2825.18,175.6,267.84
3347.19,2821.46,175.37,267.49
3340.28,2811.67,174.76,266.56
3329.98,2803.89,174.28,265.82
3336.14,2789.04,173.36,264.41
3319.99,2770.76,172.22,262.68
3308.01,2756.6,171.34,261.34
3290.59,2733.77,169.92,259.17
3283.83,2719.04,169.01,257.78
3274.4,2705.33,168.15,256.48
3272.17,2692.32,167.34,255.24
3259.31,2677.04,166.39,253.79
3254.82,2658.96,165.27,252.08
3248.34,2652.94,164.9,251.51
3244.57,2640.59,164.13,250.34
3224.46,2630.95,163.53,249.42
3230.83,2629.61,163.45,249.3
3231.53,2629.8,163.46,249.32
3237.68,2627.43,163.31,249.09
3234.07,2624.32,163.12,248.8
3222.73,2615.2,162.55,247.93
3221.5,2614.01,162.48,247.82
3221.61,2616.54,162.63,248.06
3226.88,2611.01,162.29,247.53
3218.87,2604.93,161.91,246.96
3211.07,2617.48,162.69,248.15
3216.99,2613.46,162.44,247.77
3224.7,2606.36,162.0,247.09
3220.06,2613.23,162.43,247.74
3221.13,2611.99,162.35,247.63
3213.7,2613.64,162.45,247.78
3212.25,2611.77,162.34,247.61
3220.16,2608.74,162.15,247.32
3220.0,2615.83,162.59,247.99
3215.21,2611.71,162.33,247.6
3218.32,2611.29,162.31,247.56
3230.04,2607.63,162.08,247.21
3228.47,2606.72,162.02,247.13
3216.0,2605.32,161.94,247.0
3224.3,2617.79,162.71,248.18
3220.01,2609.73,162.21,247.41
3215.27,2603.86,161.85,246.86
3225.76,2618.17,162.74,248.21
3217.2,2610.25,162.24,247.46
3226.12,2609.57,162.2,247.4
3223.7,2606.55,162.01,247.11
3219.15,2612.39,162.38,247.67
3220.38,2614.21,162.49,247.84
