,Iron_steel,Olefin,Methanol,Ammonia
10656,21266.01,74029.85,4601.42,7018.34
10657,21259.59,74019.65,4600.78,7017.38
10658,21288.85,73986.42,4598.72,7014.23
10659,21327.47,74142.52,4608.42,7029.03
10660,21303.39,74079.75,4604.52,7023.07
10661,21359.5,74188.28,4611.26,7033.36
10662,21446.35,74411.93,4625.17,7054.57
10663,21506.59,74405.72,4624.78,7053.98
10664,21495.91,74493.96,4630.26,7062.34
10665,21524.05,74499.71,4630.62,7062.89
10666,21474.69,74376.33,4622.95,7051.19
10667,21428.59,74335.64,4620.42,7047.33
10668,21332.01,74258.72,4615.64,7040.04
10669,21324.48,74036.12,4601.81,7018.94
10670,21251.07,74147.8,4608.75,7029.53
10671,21285.46,74035.61,4601.77,7018.89
10672,21379.34,74035.86,4601.79,7018.91
10673,21367.6,74113.22,4606.6,7026.25
10674,21440.05,74389.69,4623.78,7052.46
10675,21628.26,74605.45,4637.19,7072.91
10676,21787.47,74917.59,4656.6,7102.51
10677,21872.25,75313.01,4681.17,7139.99
10678,22150.66,75801.3,4711.52,7186.28
10679,22472.8,76287.76,4741.76,7232.4
10680,22762.42,76711.73,4768.11,7272.6
10681,23082.66,77480.28,4815.88,7345.46
10682,23317.54,78104.99,4854.71,7404.68
10683,23685.88,78689.87,4891.07,7460.13
10684,23982.69,79270.51,4927.16,7515.18
10685,24333.45,79829.09,4961.88,7568.14
10686,24652.05,80418.24,4998.49,7623.99
10687,24883.93,80768.34,5020.26,7657.18
10688,25128.6,81318.52,5054.45,7709.34
10689,25264.63,81511.4,5066.44,7727.63
10690,25450.14,81883.79,5089.59,7762.93
10691,25540.79,82112.5,5103.8,7784.61
10692,25597.08,82171.66,5107.48,7790.22
10693,25591.62,82341.91,5118.06,7806.36
10694,25634.5,82425.15,5123.24,7814.25
10695,25649.91,82243.03,5111.92,7796.99
10696,25613.93,82267.17,5113.42,7799.28
10697,25542.44,82385.6,5120.78,7810.5
10698,25560.04,82292.13,5114.97,7801.64
10699,25607.75,82257.69,5112.83,7798.38
10700,25601.19,82230.24,5111.12,7795.77
10701,25662.87,82367.49,5119.65,7808.79
10702,25612.52,82395.65,5121.4,7811.46
10703,25669.04,82497.26,5127.72,7821.09
10704,25671.37,82440.67,5124.2,7815.73
10705,25756.49,82622.39,5135.5,7832.95
10706,25745.49,82514.8,5128.81,7822.75
10707,25798.8,82644.95,5136.9,7835.09
10708,25710.87,82528.09,5129.63,7824.01
10709,25728.7,82711.08,5141.01,7841.36
10710,25661.11,82536.5,5130.16,7824.81
10711,25614.57,82350.89,5118.62,7807.21
10712,25567.51,82351.54,5118.66,7807.28
10713,25469.37,82198.61,5109.16,7792.78
10714,25455.24,81944.1,5093.34,7768.65
10715,25284.86,81864.71,5088.4,7761.12
10716,25207.52,81575.72,5070.44,7733.72
10717,25061.97,81246.02,5049.95,7702.47
10718,24936.86,81096.29,5040.64,7688.27
10719,24758.86,80635.63,5012.01,7644.6
10720,24620.11,80415.51,4998.32,7623.73
10721,24492.06,80166.49,4982.85,7600.12
10722,24365.48,79782.9,4959.0,7563.76
10723,24200.98,79586.26,4946.78,7545.11
10724,24129.18,79366.8,4933.14,7524.31
10725,23896.16,79124.09,4918.05,7501.3
10726,23768.09,78873.38,4902.47,7477.53
10727,23691.83,78696.49,4891.48,7460.76
10728,23635.99,78475.88,4877.77,7439.85
10729,23540.24,78402.91,4873.23,7432.93
10730,23472.07,78278.69,4865.51,7421.15
10731,23503.37,78278.21,4865.48,7421.11
10732,23478.34,78158.9,4858.06,7409.79
10733,23455.92,77993.08,4847.76,7394.07
10734,23385.58,78130.4,4856.29,7407.09
10735,23368.05,78046.69,4851.09,7399.16
10736,23391.49,78157.4,4857.97,7409.65
10737,23421.54,78066.69,4852.33,7401.05
10738,23372.11,78098.31,4854.3,7404.05
10739,23363.79,78005.45,4848.52,7395.25
10740,23257.45,77952.36,4845.22,7390.21
10741,23274.27,77860.17,4839.49,7381.47
10742,23188.58,77627.29,4825.02,7359.4
10743,23100.46,77464.33,4814.89,7343.95
10744,22983.19,77397.97,4810.77,7337.66
10745,22816.95,77188.2,4797.73,7317.77
10746,22642.11,76712.85,4768.18,7272.7
10747,22450.2,76336.69,4744.8,7237.04
10748,22280.04,75980.86,4722.68,7203.31
10749,21941.01,75319.66,4681.59,7140.62
10750,21433.44,74319.52,4619.42,7045.81
10751,21304.65,74092.35,4605.3,7024.27
10752,21287.51,74096.04,4605.53,7024.62
10753,21274.86,74057.14,4603.11,7020.93
10754,21332.0,74054.44,4602.94,7020.67
10755,21289.24,74010.87,4600.24,7016.54
10756,21272.22,74160.89,4609.56,7030.77
10757,21378.94,74069.04,4603.85,7022.06
10758,21369.31,74278.83,4616.89,7041.95
10759,21475.49,74344.17,4620.95,7048.14
10760,21544.18,74501.89,4630.76,7063.09
10761,21485.18,74443.09,4627.1,7057.52
10762,21475.13,74339.19,4620.64,7047.67
10763,21335.43,74351.12,4621.39,7048.8
10764,21375.98,74136.66,4608.06,7028.47
10765,21286.98,74082.2,4604.67,7023.31
10766,21262.67,73975.91,4598.06,7013.23
10767,21343.99,74069.64,4603.89,7022.12
10768,21324.93,74094.5,4605.43,7024.47
10769,21306.6,74309.21,4618.78,7044.83
10770,21461.31,74257.42,4615.56,7039.92
10771,21502.74,74608.62,4637.39,7073.21
10772,21765.28,74903.02,4655.69,7101.12
10773,21916.17,75343.43,4683.06,7142.88
