,Iron_steel,Olefin,Methanol,Ammonia
368,37120.54,113704.83,7067.46,10779.7
369,37067.05,114004.55,7086.09,10808.11
370,37079.44,113950.55,7082.74,10803.0
371,36993.89,114022.72,7087.22,10809.84
372,36977.19,113941.21,7082.16,10802.11
373,37068.27,113809.0,7073.94,10789.58
374,37066.33,114118.12,7093.15,10818.88
375,37011.24,113938.19,7081.97,10801.82
376,37047.04,113920.16,7080.85,10800.11
377,37182.01,113760.52,7070.93,10784.98
378,37163.94,113720.73,7068.45,10781.21
379,37020.36,113659.72,7064.66,10775.42
380,37115.89,114203.64,7098.47,10826.99
381,37066.5,113851.96,7076.61,10793.65
382,37011.91,113595.82,7060.69,10769.36
383,37132.74,114220.33,7099.51,10828.57
384,37034.12,113874.91,7078.03,10795.82
385,37136.81,113845.05,7076.18,10792.99
386,37108.95,113713.46,7068.0,10780.52
387,37056.62,113968.01,7083.82,10804.65
388,37070.74,114047.51,7088.76,10812.19
389,37105.47,113965.92,7083.69,10804.45
390,37151.74,113778.21,7072.02,10786.66
391,37067.37,113658.87,7064.61,10775.34
392,36991.86,113934.2,7081.72,10801.44
393,37113.61,113837.64,7075.72,10792.29
394,37053.71,113896.44,7079.37,10797.87
395,37089.49,113899.22,7079.55,10798.13
396,37023.35,113563.81,7058.7,10766.33
397,37054.0,114028.04,7087.55,10810.34
398,37081.07,113797.06,7073.2,10788.44
399,36984.03,113901.91,7079.71,10798.38
400,37036.86,113822.5,7074.78,10790.85
401,36942.99,113969.09,7083.89,10804.75
402,37064.64,113892.71,7079.14,10797.51
403,36921.55,114137.47,7094.35,10820.72
404,37030.09,113918.74,7080.76,10799.98
405,36878.59,113871.68,7077.83,10795.52
406,37083.91,113692.77,7066.71,10778.56
407,37025.91,113744.9,7069.95,10783.5
408,37037.22,113903.24,7079.8,10798.51
409,37088.39,113752.2,7070.41,10784.19
410,37069.05,113894.69,7079.26,10797.7
411,37095.61,113975.51,7084.29,10805.36
412,37148.38,113927.55,7081.31,10800.81
413,36971.7,113898.62,7079.51,10798.07
414,37059.32,113696.62,7066.95,10778.92
415,37000.98,113898.03,7079.47,10798.02
416,37007.46,113795.84,7073.12,10788.33
417,37118.34,113795.16,7073.08,10788.26
418,37070.0,113966.91,7083.75,10804.55
419,36984.96,113815.93,7074.37,10790.23
420,37073.09,114162.55,7095.91,10823.09
421,37118.03,113744.67,7069.94,10783.48
422,37058.92,113835.52,7075.59,10792.09
423,37046.87,114128.9,7093.82,10819.9
424,37115.89,113815.03,7074.31,10790.15
425,37192.05,114033.47,7087.89,10810.86
426,36959.18,113928.62,7081.37,10800.92
427,37111.42,113988.98,7085.13,10806.64
428,37071.33,114024.36,7087.32,10809.99
429,37071.69,113901.03,7079.66,10798.3
430,37052.23,113781.46,7072.23,10786.96
431,36947.95,113799.83,7073.37,10788.71
432,37130.97,113771.39,7071.6,10786.01
433,37140.99,113708.96,7067.72,10780.09
434,37100.72,114051.58,7089.02,10812.57
435,37003.81,113939.66,7082.06,10801.96
436,37049.76,114071.53,7090.26,10814.46
437,37049.17,113990.68,7085.23,10806.8
438,37104.28,113825.19,7074.94,10791.11
439,37087.69,113813.5,7074.22,10790.0
440,36985.21,114032.14,7087.81,10810.73
441,37026.35,114079.71,7090.76,10815.24
442,37015.61,113794.68,7073.05,10788.22
443,37031.54,113795.81,7073.12,10788.32
444,37051.66,114060.19,7089.55,10813.39
445,37056.11,113960.15,7083.33,10803.9
446,37007.86,113880.68,7078.39,10796.37
447,36963.3,113782.74,7072.31,10787.09
448,37074.44,114050.25,7088.93,10812.45
449,37053.84,114073.91,7090.4,10814.69
450,37091.85,113786.95,7072.57,10787.49
451,37056.9,113742.55,7069.81,10783.28
452,37054.53,114016.24,7086.82,10809.22
453,36976.85,113707.86,7067.65,10779.99
454,37020.72,113728.74,7068.95,10781.97
455,37120.33,113839.65,7075.84,10792.48
456,37158.58,113793.69,7072.99,10788.12
457,37096.28,114082.8,7090.96,10815.53
458,37022.02,113909.41,7080.18,10799.09
459,37151.17,114190.9,7097.68,10825.78
460,37027.93,114001.97,7085.93,10807.87
461,37017.19,113789.25,7072.71,10787.7
462,37045.9,114016.94,7086.86,10809.29
463,37180.61,113639.2,7063.38,10773.48
464,37104.92,114152.13,7095.27,10822.11
465,37102.41,114099.1,7091.97,10817.08
466,37167.32,114180.4,7097.02,10824.79
467,37350.47,115160.11,7157.92,10917.67
468,37463.55,115959.85,7207.63,10993.49
469,37545.14,117071.58,7276.73,11098.88
470,37871.25,118484.26,7364.54,11232.81
471,38064.77,120301.8,7477.51,11405.12
472,38458.59,122379.5,7606.65,11602.1
473,38868.27,125117.15,7776.81,11861.64
474,39461.91,128645.12,7996.1,12196.1
475,39969.38,132758.7,8251.78,12586.09
476,40783.94,137168.74,8525.89,13004.18
477,41563.15,142477.49,8855.86,13507.47
478,42202.89,146541.22,9108.45,13892.73
479,42426.43,147443.02,9164.5,13978.22
480,42614.46,148088.99,9204.65,14039.46
481,42568.17,148009.92,9199.74,14031.97
482,42764.0,148104.3,9205.6,14040.91
483,42588.92,148077.3,9203.93,14038.36
484,42698.56,148463.96,9227.96,14075.01
485,42709.52,147985.44,9198.22,14029.65
486,42821.01,148547.86,9233.18,14082.97
487,42910.66,148771.83,9247.1,14104.2
488,43042.34,149168.16,9271.73,14141.77
489,42858.61,148994.04,9260.91,14125.27
490,42913.74,148640.52,9238.93,14091.75
491,42799.57,148580.49,9235.2,14086.06
492,42775.4,148148.19,9208.33,14045.08
493,42620.35,148123.43,9206.79,14042.73
494,42512.64,148340.97,9220.32,14063.35
495,42670.57,148130.22,9207.22,14043.37
496,42692.73,148126.57,9206.99,14043.03
497,42621.85,148360.46,9221.53,14065.2
498,42817.85,148925.24,9256.63,14118.74
499,43168.46,149150.73,9270.65,14140.12
500,43527.56,149906.13,9317.6,14211.74
501,43818.88,150398.66,9348.21,14258.43
502,44347.57,151408.64,9410.99,14354.18
503,44859.62,152540.63,9481.35,14461.5
504,45565.56,153490.87,9540.41,14551.58
505,46057.66,154629.84,9611.21,14659.56
506,46796.4,155968.05,9694.39,14786.43
507,47467.28,157541.84,9792.21,14935.63
508,48006.5,158529.05,9853.57,15029.23
509,48609.87,159787.96,9931.82,15148.58
510,49154.7,160963.83,10004.9,15260.05
511,49833.87,161805.32,10057.21,15339.83
512,50134.59,162567.85,10104.6,15412.12
513,50524.02,163373.29,10154.67,15488.48
514,50734.13,164102.71,10200.01,15557.63
515,51017.43,164195.22,10205.76,15566.4
516,51074.05,164608.68,10231.45,15605.6
517,51171.51,164791.18,10242.8,15622.9
518,51368.36,164982.8,10254.71,15641.07
519,51277.15,164796.99,10243.16,15623.45
520,51237.64,164547.47,10227.65,15599.8
521,51315.13,164547.95,10227.68,15599.84
522,51187.44,164611.93,10231.66,15605.91
523,51139.48,164630.84,10232.83,15607.7
524,51150.48,164795.34,10243.06,15623.3
525,51221.45,164511.78,10225.43,15596.41
526,51285.01,164732.38,10239.14,15617.33
527,51360.89,165116.77,10263.04,15653.77
528,51366.72,164985.21,10254.86,15641.3
529,51362.73,165127.07,10263.68,15654.75
530,51510.95,165285.1,10273.5,15669.73
531,51419.93,164996.75,10255.58,15642.39
532,51435.68,165020.21,10257.03,15644.62
533,51445.75,165163.89,10265.96,15658.24
534,51382.13,164872.91,10247.88,15630.65
535,51320.41,164915.56,10250.53,15634.69
536,51051.95,164538.16,10227.07,15598.91
537,51099.02,164562.83,10228.61,15601.25
538,50850.38,164165.14,10203.89,15563.55
539,50553.4,163705.87,10175.34,15520.01
540,50439.99,163058.68,10135.11,15458.65
541,49989.72,162512.13,10101.14,15406.84
542,49883.88,161906.55,10063.5,15349.43
543,49525.12,161170.96,10017.78,15279.69
544,49239.05,160713.89,9989.37,15236.36
545,49026.47,160140.91,9953.76,15182.04
546,48683.56,159623.2,9921.58,15132.96
547,48369.61,159330.95,9903.41,15105.25
548,48121.92,158741.95,9866.8,15049.41
549,47796.53,157967.33,9818.65,14975.97
550,47562.2,157309.84,9777.79,14913.64
551,47499.68,157241.25,9773.52,14907.14
552,47184.67,157227.29,9772.66,14905.81
553,47112.5,156672.76,9738.19,14853.24
554,47080.19,156631.84,9735.64,14849.36
555,46940.85,156585.94,9732.79,14845.01
556,46972.49,156424.6,9722.76,14829.72
557,46793.91,156104.37,9702.86,14799.36
558,46883.79,156103.26,9702.79,14799.25
559,46867.64,156372.96,9719.55,14824.82
560,46691.68,156523.65,9728.92,14839.11
561,46864.98,156025.38,9697.95,14791.87
562,46707.01,156087.02,9701.78,14797.71
563,46726.79,156080.99,9701.41,14797.14
564,46482.37,156004.33,9696.64,14789.87
565,46427.8,155501.33,9665.38,14742.18
566,46331.46,155335.35,9655.06,14726.45
567,46166.2,155108.25,9640.94,14704.92
568,45847.02,154483.14,9602.09,14645.66
569,45685.22,153905.6,9566.19,14590.9
570,45253.74,153639.24,9549.64,14565.65
571,44984.33,152480.86,9477.64,14455.83
572,44469.11,151841.8,9437.91,14395.25
573,43783.92,150289.65,9341.44,14248.1
574,42861.58,148885.51,9254.16,14114.98
575,42585.25,148123.43,9206.79,14042.73
576,42643.8,148248.37,9214.56,14054.57
577,42580.99,148312.01,9218.52,14060.61
578,42511.69,148103.9,9205.58,14040.88
579,42554.56,148166.89,9209.5,14046.85
580,42561.86,148340.94,9220.31,14063.35
581,42628.16,148555.7,9233.66,14083.71
582,42895.33,148395.41,9223.7,14068.51
583,42975.48,148987.3,9260.49,14124.63
584,43059.98,148976.66,9259.83,14123.62
585,42909.88,148910.64,9255.72,14117.36
586,42928.56,148756.88,9246.17,14102.78
587,42782.32,148568.04,9234.43,14084.88
588,42618.33,148213.45,9212.39,14051.26
589,42643.49,148297.92,9217.64,14059.27
590,42662.89,148018.21,9200.25,14032.75
591,42643.21,148298.01,9217.64,14059.28
592,42505.4,147973.92,9197.5,14028.55
593,42757.73,148247.18,9214.49,14054.46
594,42817.72,148737.33,9244.95,14100.93
595,43177.47,149221.45,9275.04,14146.83
596,43495.88,149973.88,9321.81,14218.16
597,43938.78,150619.96,9361.97,14279.41
598,44337.82,151642.99,9425.56,14376.4
599,44925.94,152636.19,9487.29,14470.56
600,45470.59,153946.61,9568.74,14594.79
601,46240.38,154769.98,9619.92,14672.85
602,46800.67,156000.28,9696.39,14789.49
603,47408.85,157257.24,9774.52,14908.65
604,48073.92,158606.33,9858.37,15036.55
605,48673.93,159778.82,9931.25,15147.71
606,49242.32,160801.65,9994.82,15244.68
607,49780.59,161955.9,10066.57,15354.11
608,50088.36,162445.71,10097.01,15400.54
609,50566.95,163223.07,10145.33,15474.24
610,50879.62,163912.57,10188.19,15539.61
611,51128.78,164014.73,10194.54,15549.29
612,51193.21,164489.23,10224.03,15594.28
613,51362.73,164562.47,10228.58,15601.22
614,51192.76,164966.75,10253.71,15639.55
