industry_demand,allBidQuantity,allCurrentSOC,price
20.64,0.0,463.44999999999925,28.28
20.41,100.0,543.0399999999993,25.86
20.19,100.0,622.8499999999992,27.89
20.04,100.0,702.8099999999993,25.18
20.01,100.0,782.7999999999993,27.87
19.79,100.0,863.0099999999993,25.07
19.69,100.0,943.3199999999994,27.45
19.65,100.0,1023.6699999999994,25.02
19.77,100.0,1103.8999999999994,27.88
19.8,100.0,1184.0999999999995,25.02
19.82,100.0,1264.2799999999995,27.24
19.95,100.0,1344.3299999999995,25.17
20.0,100.0,1424.3299999999995,27.3
20.09,100.0,1504.2399999999996,25.18
20.09,100.0,1584.1499999999996,26.77
20.24,100.0,1663.9099999999996,25.19
20.3,100.0,1743.6099999999997,25.3
20.85,0.0,1722.7599999999998,28.12
21.06,100.0,1801.6999999999998,27.6
21.33,0.0,1780.37,28.31
21.75,100.0,1858.62,27.99
22.44,0.0,1836.1799999999998,31.91
23.25,0.0,1812.9299999999998,32.94
23.96,0.0,1788.9699999999998,37.04
24.49,0.0,1764.4799999999998,36.15
25.23,0.0,1739.2499999999998,37.04
25.76,0.0,1713.4899999999998,34.56
26.26,0.0,1687.2299999999998,37.83
26.72,0.0,1660.5099999999998,40.58
27.07,0.0,1633.4399999999998,39.47
27.19,0.0,1606.2499999999998,40.58
27.36,0.0,1578.8899999999999,40.81
27.5,0.0,1551.3899999999999,39.91
27.45,0.0,1523.9399999999998,40.81
27.49,0.0,1496.4499999999998,39.47
27.7,0.0,1468.7499999999998,40.81
27.87,0.0,1440.8799999999999,40.81
28.04,0.0,1412.84,40.81
28.04,0.0,1384.8,40.81
28.19,0.0,1356.61,41.18
28.34,0.0,1328.27,41.18
28.47,0.0,1299.8,41.18
28.55,0.0,1271.25,41.18
28.77,0.0,1242.48,41.71
28.72,0.0,1213.76,39.92
28.71,0.0,1185.05,41.26
28.59,0.0,1156.46,38.7
28.58,0.0,1127.88,41.18
28.56,0.0,1099.3200000000002,39.47
28.52,0.0,1070.8000000000002,41.26
28.3,0.0,1042.5000000000002,38.36
28.14,0.0,1014.3600000000002,40.81
27.85,0.0,986.5100000000002,37.89
