,industry_demand,optimalBidamount,elecStandByCons,elecCons,comprCons,prodH2,elecToPlantUse_kg,elecToStorage_kg,storageToPlantUse_kg,currentSOC,price,all_isRunning,isIdle,isStandBy,isColdStarted,isHotStarted
110,154.2,10.0,0.0,10.0,0.0,52.505,52.505,0.0,101.695,0.0,21.8,1.0,0.0,0.0,0.0,0.0
111,154.8,29.483,0.0,29.483,0.0,154.8,154.8,0.0,0.0,0.0,17.91,1.0,0.0,0.0,0.0,0.0
112,156.1,29.73,0.0,29.73,0.0,156.1,156.1,0.0,0.0,0.0,17.91,1.0,0.0,0.0,0.0,0.0
113,156.6,29.826,0.0,29.826,0.0,156.6,156.6,0.0,0.0,0.0,17.91,1.0,0.0,0.0,0.0,0.0
114,157.4,149.978,0.0,149.004,0.974,782.35,157.4,624.95,0.0,624.95,17.89,1.0,0.0,0.0,0.0,0.0
115,158.3,503.844,0.0,500.0,3.844,2625.263,158.3,2466.963,0.0,3091.912,17.89,1.0,0.0,0.0,0.0,0.0
116,159.6,1.25,1.25,1.25,0.0,0.0,0.0,0.0,159.6,2932.312,21.8,0.0,0.0,1.0,0.0,0.0
117,159.6,504.467,0.0,500.0,3.842,2625.263,159.6,2465.663,0.0,5397.975,16.13,1.0,0.0,0.0,0.0,1.0
118,160.6,1.25,1.25,1.25,0.0,0.0,0.0,0.0,160.6,5237.375,21.74,0.0,0.0,1.0,0.0,0.0
119,161.8,1.25,1.25,1.25,0.0,0.0,0.0,0.0,161.8,5075.575,21.72,0.0,0.0,1.0,0.0,0.0
120,162.8,504.462,0.0,500.0,3.837,2625.263,162.8,2462.463,0.0,7538.037,17.19,1.0,0.0,0.0,0.0,1.0
121,163.3,503.836,0.0,500.0,3.836,2625.263,163.3,2461.963,0.0,10000.0,15.94,1.0,0.0,0.0,0.0,0.0
122,165.1,31.444,0.0,31.444,0.0,165.1,165.1,0.0,0.0,10000.0,21.8,1.0,0.0,0.0,0.0,0.0
123,168.0,31.997,0.0,31.997,0.0,168.0,168.0,0.0,0.0,10000.0,21.72,1.0,0.0,0.0,0.0,0.0
124,172.3,10.0,0.0,10.0,0.0,52.505,52.505,0.0,119.795,9880.205,23.21,1.0,0.0,0.0,0.0,0.0
125,174.9,56.313,0.0,56.127,0.187,294.695,174.9,119.795,0.0,10000.0,21.76,1.0,0.0,0.0,0.0,0.0
126,178.1,33.92,0.0,33.92,0.0,178.1,178.1,0.0,0.0,10000.0,23.32,1.0,0.0,0.0,0.0,0.0
127,183.3,34.911,0.0,34.911,0.0,183.3,183.3,0.0,0.0,10000.0,23.84,1.0,0.0,0.0,0.0,0.0
128,187.7,35.749,0.0,35.749,0.0,187.7,187.7,0.0,0.0,10000.0,23.81,1.0,0.0,0.0,0.0,0.0
129,191.5,10.0,0.0,10.0,0.0,52.505,52.505,0.0,138.995,9861.005,24.56,1.0,0.0,0.0,0.0,0.0
130,194.1,36.968,0.0,36.968,0.0,194.1,194.1,0.0,0.0,9861.005,23.84,1.0,0.0,0.0,0.0,0.0
131,198.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.4,9662.605,24.75,0.0,1.0,0.0,0.0,0.0
132,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,9458.605,24.87,0.0,1.0,0.0,0.0,0.0
133,207.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.3,9251.305,24.65,0.0,1.0,0.0,0.0,0.0
134,211.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.2,9040.105,25.18,0.0,1.0,0.0,0.0,0.0
135,213.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.9,8826.205,24.73,0.0,1.0,0.0,0.0,0.0
136,217.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.4,8608.805,24.87,0.0,1.0,0.0,0.0,0.0
137,218.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.7,8390.105,24.65,0.0,1.0,0.0,0.0,0.0
138,220.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.3,8169.805,24.87,0.0,1.0,0.0,0.0,0.0
139,221.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.5,7948.305,24.56,0.0,1.0,0.0,0.0,0.0
140,224.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.1,7724.205,25.18,0.0,1.0,0.0,0.0,0.0
141,226.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.5,7497.705,24.65,0.0,1.0,0.0,0.0,0.0
