industry_demand,allBidQuantity,allCurrentSOC,price
28.74,0.0,1350.1499999999996,33.4
28.81,0.0,1321.3399999999997,32.26
28.94,0.0,1292.3999999999996,32.63
28.93,0.0,1263.4699999999996,31.69
28.97,0.0,1234.4999999999995,33.39
29.07,0.0,1205.4299999999996,30.02
29.09,0.0,1176.3399999999997,31.32
29.34,0.0,1146.9999999999998,31.45
29.7,0.0,1117.2999999999997,33.39
29.87,0.0,1087.4299999999998,32.83
29.91,0.0,1057.5199999999998,32.83
29.76,0.0,1027.7599999999998,32.08
29.72,0.0,998.0399999999998,32.0
29.77,0.0,968.2699999999999,33.39
29.78,0.0,938.4899999999999,32.26
29.8,0.0,908.6899999999999,33.4
29.56,0.0,879.13,31.69
29.24,0.0,849.89,31.69
29.12,0.0,820.77,31.58
29.17,0.0,791.6,32.08
29.19,0.0,762.41,31.45
29.12,0.0,733.29,31.58
29.04,0.0,704.25,31.31
29.18,0.0,675.07,31.19
29.0,0.0,646.07,29.71
28.94,0.0,617.13,29.71
28.98,0.0,588.15,29.71
29.01,0.0,559.14,29.54
29.18,0.0,529.96,30.74
29.43,0.0,500.53000000000003,29.94
29.79,0.0,470.74,31.31
30.24,0.0,440.5,32.08
30.4,0.0,410.1,31.69
30.45,0.0,379.65000000000003,31.69
30.55,0.0,349.1,31.43
30.48,0.0,318.62,31.32
30.25,0.0,288.37,29.94
30.26,0.0,258.11,29.94
30.08,0.0,228.03000000000003,29.51
29.83,0.0,198.20000000000002,29.51
29.47,0.0,168.73000000000002,28.25
29.08,0.0,139.65,27.95
28.76,0.0,110.89,27.85
28.3,0.0,82.59,27.84
27.75,0.0,54.84,27.28
27.42,0.0,27.42,27.31
26.95,100.0,100.47,25.18
26.59,0.0,73.88,26.77
26.22,100.0,147.66,24.9
25.88,100.0,221.78,24.93
25.53,100.0,296.25,24.37
25.66,0.0,270.59,26.14
25.35,100.0,345.24,23.86
24.86,100.0,420.38,24.65
24.45,100.0,495.93,23.81
24.0,100.0,571.9300000000001,24.45
23.47,100.0,648.46,23.68
22.95,100.0,725.51,23.68
22.58,100.0,802.93,20.73
