,industry_demand,optimalBidamount,elecStandByCons,elecCons,comprCons,prodH2,elecToPlantUse_kg,elecToStorage_kg,storageToPlantUse_kg,currentSOC,price,isRunning,isIdle,isStandBy,isColdStarted
173,60861.5,12879.453,0.0,12879.453,0.0,60861.5,60861.5,0.0,0.0,0.0,101.56,1.0,0.0,0.0,0.0
174,60844.1,12875.77,0.0,12875.77,0.0,60844.1,60844.1,0.0,0.0,0.0,99.42,1.0,0.0,0.0,0.0
175,60947.75,12897.705,0.0,12897.705,0.0,60947.75,60947.75,0.0,0.0,0.0,99.41,1.0,0.0,0.0,0.0
176,60805.69,12867.642,0.0,12867.642,0.0,60805.69,60805.69,0.0,0.0,0.0,101.52,1.0,0.0,0.0,0.0
177,60632.16,12830.92,0.0,12830.92,0.0,60632.16,60632.16,0.0,0.0,0.0,99.39,1.0,0.0,0.0,0.0
178,60546.71,12812.837,0.0,12812.837,0.0,60546.71,60546.71,0.0,0.0,0.0,87.48,1.0,0.0,0.0,0.0
179,60723.45,12850.239,0.0,12850.239,0.0,60723.45,60723.45,0.0,0.0,0.0,85.48,1.0,0.0,0.0,0.0
180,60487.69,12800.347,0.0,12800.347,0.0,60487.69,60487.69,0.0,0.0,0.0,76.91014492753622,1.0,0.0,0.0,0.0
181,60398.43,12781.458,0.0,12781.458,0.0,60398.43,60398.43,0.0,0.0,0.0,75.17083333333333,1.0,0.0,0.0,0.0
182,60163.55,12731.753,0.0,12731.753,0.0,60163.55,60163.55,0.0,0.0,0.0,68.17,1.0,0.0,0.0,0.0
183,59993.25,12695.714,0.0,12695.714,0.0,59993.25,59993.25,0.0,0.0,0.0,68.16,1.0,0.0,0.0,0.0
184,59650.61,12623.205,0.0,12623.205,0.0,59650.61,59650.61,0.0,0.0,0.0,83.77,1.0,0.0,0.0,0.0
185,59221.72,12532.444,0.0,12532.444,0.0,59221.72,59221.72,0.0,0.0,0.0,68.15,1.0,0.0,0.0,0.0
186,58728.9,12428.154,0.0,12428.154,0.0,58728.9,58728.9,0.0,0.0,0.0,64.19,1.0,0.0,0.0,0.0
187,58226.27,12321.788,0.0,12321.788,0.0,58226.27,58226.27,0.0,0.0,0.0,63.30995833333333,1.0,0.0,0.0,0.0
188,57775.5,12226.396,0.0,12226.396,0.0,57775.5,57775.5,0.0,0.0,0.0,66.62,1.0,0.0,0.0,0.0
189,56783.04,12016.373,0.0,12016.373,0.0,56783.04,56783.04,0.0,0.0,0.0,61.79,1.0,0.0,0.0,0.0
190,55653.54,11777.349,0.0,11777.349,0.0,55653.54,55653.54,0.0,0.0,0.0,58.54,1.0,0.0,0.0,0.0
191,55353.77,11713.912,0.0,11713.912,0.0,55353.77,55353.77,0.0,0.0,0.0,57.5696,1.0,0.0,0.0,0.0
192,55235.37,11688.856,0.0,11688.856,0.0,55235.37,55235.37,0.0,0.0,0.0,57.73,1.0,0.0,0.0,0.0
193,55462.3,11736.879,0.0,11736.879,0.0,55462.3,55462.3,0.0,0.0,0.0,57.73,1.0,0.0,0.0,0.0
194,55332.19,11709.345,0.0,11709.345,0.0,55332.19,55332.19,0.0,0.0,0.0,57.73,1.0,0.0,0.0,0.0
195,55374.46,11718.29,0.0,11718.29,0.0,55374.46,55374.46,0.0,0.0,0.0,55.476527777777775,1.0,0.0,0.0,0.0
196,55456.92,11735.741,0.0,11735.741,0.0,55456.92,55456.92,0.0,0.0,0.0,55.19,1.0,0.0,0.0,0.0
197,55648.66,11776.316,0.0,11776.316,0.0,55648.66,55648.66,0.0,0.0,0.0,55.2,1.0,0.0,0.0,0.0
198,55624.01,11771.1,0.0,11771.1,0.0,55624.01,55624.01,0.0,0.0,0.0,55.2,1.0,0.0,0.0,0.0
199,55896.12,11828.684,0.0,11828.684,0.0,55896.12,55896.12,0.0,0.0,0.0,55.2,1.0,0.0,0.0,0.0
