,Iron_steel
1671,50285.79
1672,50379.54
1673,50384.65
1674,50436.96
1675,50408.12
1676,50397.84
1677,50501.54
1678,50428.07
1679,50414.79
1680,50312.52
1681,50295.52
1682,50345.64
1683,50207.53
1684,50182.06
1685,50248.7
1686,49924.4
1687,49937.49
1688,49738.3
1689,49729.14
1690,49662.04
1691,49540.28
1692,49314.41
1693,49035.05
1694,49100.22
1695,48743.65
1696,48566.79
1697,48598.5
1698,48426.25
1699,48277.78
1700,48314.0
1701,48343.23
1702,48247.85
1703,48189.21
1704,48260.77
1705,48093.92
1706,48079.51
1707,48216.17
1708,48069.86
1709,48168.64
1710,48132.15
1711,48187.35
1712,48132.98
1713,47926.18
1714,48025.15
1715,48175.89
1716,48017.58
1717,48192.57
1718,48124.09
1719,48067.97
1720,48172.64
1721,48011.74
1722,48024.58
1723,48077.89
1724,47982.92
1725,48042.66
1726,47954.48
1727,48207.43
1728,48139.69
1729,48004.14
1730,48208.27
1731,48034.5
1732,48074.83
1733,48172.45
1734,48077.75
1735,48208.25
1736,48139.44
1737,48228.39
1738,48136.44
1739,48072.0
1740,48067.45
1741,48278.4
1742,48134.23
1743,48103.46
1744,48203.54
1745,48163.4
1746,48108.09
1747,48228.85
1748,48162.05
1749,48228.9
1750,48228.82
1751,48222.14
1752,48195.24
1753,48155.96
1754,48140.55
1755,48037.2
1756,48108.84
1757,48085.19
1758,48127.23
1759,48254.12
1760,48027.47
1761,48223.2
1762,48070.21
1763,48217.25
1764,48144.64
1765,48141.26
1766,48084.73
1767,48157.23
1768,48015.22
1769,48038.88
1770,48090.59
1771,48096.3
1772,48167.26
1773,48141.96
1774,48078.78
1775,47977.49
1776,48171.07
1777,48189.38
1778,48094.38
1779,48042.56
1780,48149.1
1781,48161.83
1782,48021.85
1783,48211.62
1784,48172.59
1785,48260.53
1786,48188.19
1787,48194.3
1788,47926.39
1789,48072.97
1790,48050.29
1791,48092.65
1792,48052.18
1793,48081.19
1794,48122.49
1795,48031.88
1796,48174.45
1797,48152.29
1798,48153.26
1799,48209.46
1800,48030.07
1801,48053.05
1802,48127.41
1803,48027.17
1804,48199.95
1805,48035.93
1806,48158.99
1807,48096.11
1808,48111.98
1809,48048.53
1810,48212.76
1811,48328.98
1812,48508.67
1813,48743.62
1814,49091.28
1815,49361.77
1816,50094.98
1817,50715.43
1818,51342.08
1819,51979.42
1820,53129.63
1821,54217.28
1822,54988.66
1823,55123.2
1824,55147.32
1825,55396.46
1826,55179.78
1827,55108.55
1828,55304.36
1829,55251.56
1830,55639.95
1831,55618.35
1832,55632.52
1833,55750.84
1834,55664.2
1835,55459.58
1836,55324.44
1837,55268.21
1838,55057.43
1839,55299.49
1840,55371.02
1841,55401.19
1842,55650.41
1843,56074.44
1844,56307.5
1845,56798.81
1846,57591.71
1847,58106.64
1848,58918.01
1849,59952.48
1850,60683.69
1851,61499.4
1852,62412.58
1853,63115.13
1854,63878.53
1855,64514.45
1856,65294.78
1857,65607.26
1858,66164.29
1859,66225.22
1860,66481.4
1861,66635.87
1862,66708.13
1863,66622.73
1864,66568.58
1865,66623.78
1866,66622.81
1867,66468.53
1868,66710.05
1869,66473.64
