,demand
1186,56164.72
1187,56495.96
1188,58284.66
1189,59292.020000000004
1190,60256.01
1191,61055.25
1192,61754.15
1193,62408.62
1194,63209.69
1195,64010.54
1196,65040.01
1197,65826.97
1198,66394.95
1199,66640.15
1200,66464.08
1201,66420.32
1202,66133.57
1203,65855.04
1204,65533.55
1205,65156.21
1206,65126.979999999996
1207,64627.88
1208,64296.74
1209,64164.25
1210,64066.55
1211,63768.68
1212,63768.37
1213,63520.83
1214,63451.36
1215,63476.99
1216,63761.21
1217,64050.43
1218,64554.11
1219,65185.58
1220,66386.51
1221,66956.04
1222,67422.77
1223,68008.35
1224,68428.58
1225,68140.39
1226,68068.76
1227,67763.78
1228,67309.2
1229,66787.97
1230,66371.25
1231,65870.84
1232,64900.05
1233,63981.41
1234,63288.19
1235,62815.08
1236,62666.5
1237,62266.4
1238,61927.4
1239,61909.35
1240,62507.479999999996
1241,62025.12
1242,61507.28
1243,60953.24
1244,60025.72
1245,59289.5
1246,58683.75
1247,57678.47
1248,56987.1
1249,56566.74
1250,56129.86
1251,55540.9
1252,54449.18
1253,54235.44
1254,54151.34
1255,53904.6
1256,53571.020000000004
1257,53361.94
1258,53262.46
1259,53828.57
1260,53864.85
1261,53936.87
1262,54088.43
1263,54299.74
1264,54907.83
1265,55457.21
1266,56106.83
1267,56789.56
1268,58710.13
1269,59564.66
1270,60786.79
1271,62516.4
1272,65796.71
1273,68249.42
1274,70172.56
1275,72178.93
1276,74536.78
1277,75911.78
1278,76921.78
1279,77817.35
1280,78456.74
1281,78988.95
1282,79118.5
1283,79403.09
1284,78646.67
1285,79166.8
1286,79582.2
1287,79735.35
1288,79511.69
1289,79577.55
1290,79450.34
1291,79661.5
1292,80009.79
1293,80023.6
1294,80359.54
1295,80509.55
1296,80068.0
1297,79749.71
1298,80002.8
1299,80071.13
1300,80332.82
1301,80077.82
1302,79784.67
1303,79320.33
1304,79241.14
1305,79185.14
1306,79142.71
1307,78970.05
1308,78919.27
1309,78382.21
1310,78089.25
1311,77653.96
1312,77658.77
1313,77537.26
1314,77590.24
1315,78650.2
1316,80159.57
1317,81017.16
1318,81418.95
1319,81369.0
1320,80816.77
1321,80268.54
1322,80292.06
1323,79958.82
1324,79344.65
1325,78517.72
1326,78369.44
1327,77600.48
1328,76100.17
1329,74790.32
1330,73997.62
1331,73280.83
1332,72378.44
1333,71360.1
1334,70573.84
1335,69658.22
1336,69348.12
1337,68200.06
1338,67360.05
1339,66413.82
1340,64904.28
1341,63892.56
1342,63082.78
1343,62156.69
1344,61485.82
1345,60965.49
1346,60549.81
1347,60165.51
1348,59204.91
1349,58965.37
1350,58825.6
1351,59114.43
1352,58534.58
1353,58317.3
1354,58252.229999999996
1355,58297.92
1356,58433.17
1357,58319.99
1358,58571.270000000004
1359,58588.61
1360,58901.82
1361,59215.33
1362,59802.82
1363,59849.520000000004
1364,61681.6
1365,62439.71
1366,63521.88
1367,64189.229999999996
1368,67625.1
1369,69445.78
1370,71181.36
1371,73110.02
1372,75404.16
1373,76724.98
1374,77937.85
1375,78937.88
1376,79704.0
1377,79964.37
1378,80113.67
1379,80273.39
1380,79801.73
1381,79775.39
1382,80311.98
1383,80459.95
1384,80933.37
1385,80958.57
1386,80926.53
1387,80447.45
1388,81307.86
1389,81414.59
1390,80692.19
1391,80529.37
1392,80861.18
1393,79989.02
1394,79910.01
1395,80008.98
1396,81020.41
1397,80419.53
1398,80093.13
1399,79720.1
1400,80264.19
1401,80345.89
1402,80248.34
1403,80380.19
1404,80058.31
1405,79913.56
1406,79414.68
1407,79273.88
1408,79137.03
1409,79101.7
1410,79380.42
1411,79776.83
1412,80564.75
1413,81144.78
1414,81441.49
1415,81589.43
1416,80989.37
1417,80555.06
1418,80160.17
1419,80236.97
1420,79926.23
1421,78956.11
1422,78638.13
1423,77869.91
1424,76323.66
1425,75375.15
1426,74666.57
1427,72869.57
1428,72683.34
1429,71844.83
1430,71299.0
1431,70139.69
1432,69608.16
1433,69115.12
1434,67928.96
1435,66961.36
1436,65517.8
1437,64286.63
1438,63733.72
1439,62715.26
1440,61624.86
1441,60721.55
1442,60213.6
1443,59417.25
1444,58816.57
1445,58413.74
1446,57980.69
1447,57735.49
1448,57280.78
1449,57313.53
1450,56975.56
1451,56905.26
1452,56920.39
1453,57216.05
1454,57387.47
1455,57614.520000000004
1456,58381.42
1457,58795.6
1458,59153.09
1459,59327.85
1460,60981.72
1461,61566.5
1462,62553.770000000004
1463,64146.12
1464,67052.05
1465,69504.65
1466,71896.52
1467,74017.77
1468,76111.67
1469,77464.75
1470,78549.41
1471,79217.63
1472,79951.48
1473,80110.62
1474,80163.75
1475,80363.26
1476,80100.67
1477,80150.71
1478,80327.05
1479,80331.14
1480,80338.56
1481,80612.79
1482,80795.06
1483,80983.29
1484,80998.33
1485,81207.83
1486,81548.29
1487,81587.27
1488,81201.89
1489,80905.92
1490,81033.16
1491,81118.06
1492,81376.11
1493,81209.18
1494,80885.9
1495,80055.1
1496,79676.69
1497,79467.26
1498,79351.77
1499,79311.99
1500,79365.35
1501,78968.15
1502,78772.43
1503,78348.19
1504,78074.98
1505,78225.6
1506,78674.05
1507,79303.54
1508,80482.48
1509,81451.3
1510,82019.56
1511,82073.16
1512,81516.67
1513,81080.11
1514,80764.11
1515,80633.63
1516,80334.02
1517,79525.14
1518,78884.53
1519,77703.28
1520,76705.05
1521,75458.58
1522,74355.54
1523,73670.01
1524,72848.21
1525,72070.49
1526,71250.85
1527,70215.55
1528,69809.12
1529,68973.41
1530,68126.15
1531,67144.45
1532,65809.6
1533,64900.53
1534,64056.51
1535,63185.16
1536,62261.229999999996
1537,61600.44
1538,61303.61
1539,60720.13
1540,60192.08
1541,59474.08
1542,59447.67
1543,59384.65
1544,58592.5
1545,58380.91
1546,58277.69
1547,58359.54
1548,58317.53
1549,58587.33
1550,58339.75
1551,58558.84
1552,59213.39
1553,59919.65
1554,60271.020000000004
1555,60508.82
1556,62172.3
1557,62748.69
1558,63742.7
1559,65055.21
1560,67935.84
1561,70239.33
1562,72112.26
1563,73977.32
1564,76313.36
1565,77953.08
1566,78997.36
1567,80096.7
1568,80453.29
1569,80820.84
1570,80977.39
1571,80787.08
1572,80347.02
1573,80681.92
1574,80776.77
1575,80887.98
1576,80880.05
1577,81196.17
1578,81366.27
1579,81685.19
1580,81714.95
1581,82033.1
1582,82418.08
1583,82662.24
1584,82278.7
1585,82110.58
1586,82146.44
1587,81690.01
1588,82476.33
1589,82147.37
1590,81648.97
1591,80468.01
1592,81038.77
1593,80924.16
1594,80211.13
1595,79797.89
1596,80110.14
1597,79155.59
1598,79078.77
1599,78653.96
1600,79054.57
1601,79060.62
1602,79251.48
1603,79687.4
1604,80830.01
1605,81888.97
1606,82443.89
1607,82515.9
1608,82046.44
1609,81727.05
1610,81760.34
1611,80911.87
1612,80778.34
1613,79934.8
1614,79278.56
1615,79029.47
1616,77981.68
1617,76791.31
1618,75709.2
1619,74500.84
1620,73350.45
1621,72571.42
1622,71695.06
1623,71414.91
1624,70793.58
1625,69629.51
1626,68303.29
1627,67228.35
1628,65512.5
1629,65128.79
1630,64002.88
1631,63088.24
1632,62520.6
1633,62079.71
1634,61657.08
1635,61073.31
1636,60158.94
1637,59618.7
1638,59102.47
1639,58583.38
1640,58015.24
1641,57677.19
1642,57288.56
1643,56779.520000000004
1644,57656.56
1645,57466.61
1646,57650.92
1647,57936.18
1648,58593.36
1649,58980.82
1650,59038.41
1651,59461.67
1652,60491.97
1653,60946.76
1654,61940.72
1655,63268.67
1656,65900.54
1657,68080.82
1658,69978.3
1659,70946.28
1660,73643.1
1661,74840.68
1662,75904.67
1663,76418.66
1664,77369.4
1665,77598.6
1666,77616.38
1667,76762.96
1668,77180.43
1669,77306.38
1670,76683.81
1671,76796.15
1672,77191.11
1673,77172.15
1674,76299.9
1675,76418.23
1676,77271.01
1677,77539.51
1678,76776.02
1679,76606.37
1680,77049.01
1681,76025.6
1682,75619.53
1683,75538.87
1684,75958.01
1685,75411.72
1686,74924.56
1687,73360.03
1688,74208.11
1689,73991.74
1690,73639.85
1691,73627.88
1692,73307.54
1693,72994.14
1694,72845.15
1695,72678.7
1696,72649.68
1697,72698.05
1698,73022.49
1699,73834.64
1700,75300.94
1701,76382.4
1702,76882.76
1703,76824.88
1704,76621.63
1705,76198.26
1706,75788.99
1707,75132.39
1708,75276.1
1709,74545.93
1710,73203.29
1711,72370.19
1712,71594.39
1713,70554.89
1714,69678.89
1715,68802.44
1716,68086.95
1717,67584.31
1718,66943.44
1719,66095.78
1720,66057.08
1721,65180.63
1722,64343.28
1723,63847.22
1724,63074.39
1725,62382.7
1726,61944.83
1727,61387.32
1728,60408.88
1729,59679.95
1730,59435.53
1731,58947.08
1732,58095.88
1733,57589.479999999996
1734,57053.979999999996
1735,56851.67
1736,56352.08
1737,55912.37
1738,55759.75
1739,55278.58
1740,55584.22
1741,55365.83
1742,55184.08
1743,54525.3
1744,55111.7
