,demand
1292,80201.09
1293,80215.2
1294,80551.01
1295,80701.22
1296,80259.87
1297,79941.89
1298,80194.76
1299,80263.48
1300,80524.85
1301,80270.13
1302,79976.69
1303,79511.7
1304,79432.16
1305,79375.9
1306,79333.01
1307,79159.58
1308,79108.2
1309,78570.35
1310,78276.72
1311,77840.31
1312,77844.13
1313,77721.93
1314,77773.8
1315,78832.88
1316,80341.27
1317,81198.03
1318,81599.62
1319,81548.84
1320,80996.09
1321,80447.61
1322,80470.98
1323,80137.57
1324,79523.21
1325,78695.93
1326,78547.78
1327,77778.91
1328,76278.46
1329,74968.04
1330,74175.57
1331,73459.02
1332,72555.79
1333,71537.37
1334,70750.53
1335,69834.42
1336,69523.61
1337,68374.92
1338,67533.77
1339,66586.32
1340,65075.72
1341,64061.729999999996
1342,63249.21
1343,62322.3
1344,61651.47
1345,61131.38
1346,60715.46
1347,60331.14
1348,59370.66
1349,59131.25
1350,58991.74
1351,59280.979999999996
1352,58701.270000000004
1353,58484.2
1354,58418.71
1355,58464.08
1356,58599.05
1357,58485.83
1358,58736.7
1359,58754.09
1360,59067.47
1361,59381.15
1362,59969.39
1363,60016.8
1364,61849.770000000004
1365,62608.84
1366,63692.61
1367,64361.59
1368,67799.36
1369,69621.58
1370,71359.3
1371,73290.02
1372,75586.13
1373,76908.88
1374,78123.18
1375,79124.6
1376,79892.19
1377,80153.59
1378,80303.56
1379,80464.03
1380,79992.77
1381,79966.87
1382,80503.34
1383,80651.44
1384,81124.9
1385,81149.89
1386,81117.85
1387,80638.8
1388,81499.23
1389,81606.29
1390,80883.95
1391,80721.03
1392,81053.22
1393,80181.18
1394,80102.2
1395,80201.14
1396,81212.81
1397,80611.65
1398,80284.91
1399,79911.6
1400,80455.05
1401,80536.81
1402,80438.7
1403,80569.91
1404,80247.08
1405,80101.55
1406,79602.06
1407,79460.1
1408,79322.34
1409,79286.39
1410,79564.18
1411,79959.84
1412,80746.49
1413,81326.01
1414,81622.11
1415,81769.54
1416,81168.84
1417,80734.08
1418,80338.84
1419,80415.41
1420,80104.72
1421,79134.52
1422,78816.48
1423,78048.38
1424,76502.32
1425,75553.28
1426,74844.56
1427,73047.52
1428,72861.09
1429,72022.25
1430,71476.11
1431,70316.06
1432,69783.79
1433,69289.95
1434,68102.58
1435,67134.1
1436,65689.03
1437,64455.86
1438,63900.37
1439,62880.82
1440,61790.47
1441,60887.18
1442,60379.11
1443,59582.88
1444,58982.3
1445,58579.64
1446,58147.07
1447,57902.2
1448,57447.79
1449,57480.31
1450,57141.770000000004
1451,57071.26
1452,57086.37
1453,57381.89
1454,57553.04
1455,57779.8
1456,58547.06
1457,58961.43
1458,59319.6
1459,59495.08
1460,61149.9
1461,61735.979999999996
1462,62724.5
1463,64318.88
1464,67226.27
1465,69680.54
1466,72074.57
1467,74197.89
1468,76293.76
1469,77648.4
1470,78734.98
1471,79404.6
1472,80139.4
1473,80299.91
1474,80354.09
1475,80553.96
1476,80291.8
1477,80342.16
1478,80518.52
1479,80522.6
1480,80530.0
1481,80804.31
1482,80986.64
1483,81174.51
1484,81189.77
1485,81399.31
1486,81739.91
1487,81779.25
1488,81393.82
1489,81098.11
1490,81225.33
1491,81309.99
1492,81568.24
1493,81401.09
1494,81077.7
1495,80246.43
1496,79868.08
1497,79658.1
1498,79541.86
1499,79501.58
1500,79554.35
1501,79156.34
1502,78959.5
1503,78534.48
1504,78260.22
1505,78410.16
1506,78857.6
1507,79486.26
1508,80664.4
1509,81632.36
1510,82200.12
1511,82253.26
1512,81696.0
1513,81259.42
1514,80942.9
1515,80812.22
1516,80512.37
1517,79703.46
1518,79062.95
1519,77881.54
1520,76883.24
1521,75636.69
1522,74533.43
1523,73847.85
1524,73025.74
1525,72247.59
1526,71427.7
1527,70391.66
1528,69984.52
1529,69148.18
1530,68299.8
1531,67317.16
1532,65980.57
1533,65069.43
1534,64223.0
1535,63350.66
1536,62426.85
1537,61766.04
1538,61469.18
1539,60885.59
1540,60357.8
1541,59639.86
1542,59613.88
1543,59551.4
1544,58759.38
1545,58547.79
1546,58444.22
1547,58525.75
1548,58483.29
1549,58753.15
1550,58505.46
1551,58724.520000000004
1552,59379.020000000004
1553,60085.479999999996
1554,60437.46
1555,60676.09
1556,62340.44
1557,62918.229999999996
1558,63913.2
1559,65227.76
1560,68109.93
1561,70415.31
1562,72290.42
1563,74157.42
1564,76495.25
1565,78136.86
1566,79182.54
1567,80283.77
1568,80641.27
1569,81010.2
1570,81167.41
1571,80977.91
1572,80537.97
1573,80872.96
1574,80968.16
1575,81079.47
1576,81071.16
1577,81387.54
1578,81557.45
1579,81876.34
1580,81906.41
1581,82224.63
1582,82609.51
1583,82853.67
1584,82470.54
1585,82302.66
1586,82338.39
1587,81882.2
1588,82668.6
1589,82339.35
1590,81840.62
1591,80659.5
1592,81230.09
1593,81114.76
1594,80401.19
1595,79987.54
1596,80299.16
1597,79343.64
1598,79265.9
1599,78840.31
1600,79240.05
1601,79245.27
1602,79434.95
1603,79870.23
1604,81011.91
1605,82070.08
1606,82624.46
1607,82695.84
1608,82225.95
1609,81905.94
1610,81939.14
1611,81090.41
1612,80956.57
1613,80113.04
1614,79456.93
1615,79207.8
1616,78160.02
1617,76969.57
1618,75887.02
1619,74678.51
1620,73528.18
1621,72748.54
1622,71871.8
1623,71591.12
1624,70969.13
1625,69804.41
1626,68476.99
1627,67401.06
1628,65683.69
1629,65297.83
1630,64169.45
1631,63253.58
1632,62685.7
1633,62244.66
1634,61822.07
1635,61238.17
1636,60323.99
